,Comunidades y Ciudades Autónomas,Provincias,Periodo,NumCompraVentas,TotalPoblación,PrecioVivienda
0,Total Nacional,Total Nacional,2022M01,52684.0,47432805.0,138742.0
1,Total Nacional,Total Nacional,2021M07,49732.0,47331545.0,133652.0
2,Total Nacional,Total Nacional,2021M01,40213.0,47398695.0,127831.0
3,Total Nacional,Total Nacional,2020M07,32751.0,47355685.0,128255.0
4,Total Nacional,Total Nacional,2020M01,47017.0,47332614.0,126695.0
5,Total Nacional,Total Nacional,2019M07,48337.0,47105358.0,126135.0
6,Total Nacional,Total Nacional,2019M01,48202.0,46937060.0,122758.0
7,Total Nacional,Total Nacional,2018M07,46148.0,46728814.0,120491.0
8,Total Nacional,Total Nacional,2018M01,47735.0,46658447.0,114994.0
9,Total Nacional,Total Nacional,2017M07,39500.0,46532869.0,112442.0
10,Total Nacional,Total Nacional,2017M01,38410.0,46527039.0,108239.0
11,Total Nacional,Total Nacional,2016M07,33257.0,46449874.0,105431.0
12,Total Nacional,Total Nacional,2016M01,32569.0,46440099.0,102775.0
13,Total Nacional,Total Nacional,2015M07,32736.0,46410149.0,101358.0
14,Total Nacional,Total Nacional,2015M01,33379.0,46449565.0,96651.0
15,Total Nacional,Total Nacional,2014M07,28731.0,46455123.0,97002.0
16,Total Nacional,Total Nacional,2014M01,30493.0,46512199.0,95208.0
17,Total Nacional,Total Nacional,2013M07,25819.0,46593236.0,96742.0
18,Total Nacional,Total Nacional,2013M01,39920.0,46727890.0,96768.0
19,Total Nacional,Total Nacional,2012M07,27072.0,46766403.0,105073.0
20,Total Nacional,Total Nacional,2012M01,33364.0,46818216.0,112861.0
21,Total Nacional,Total Nacional,2011M07,28097.0,46736257.0,123948.0
22,Total Nacional,Total Nacional,2011M01,44874.0,46667175.0,129059.0
23,Total Nacional,Total Nacional,2010M07,43561.0,46562483.0,133846.0
24,Total Nacional,Total Nacional,2010M01,37650.0,46486621.0,134626.0
25,Total Nacional,Total Nacional,2009M07,37669.0,46367550.0,136845.0
26,Total Nacional,Total Nacional,2009M01,37475.0,46239271.0,138693.0
27,Total Nacional,Total Nacional,2008M07,45500.0,45983169.0,147134.0
28,Total Nacional,Total Nacional,2008M01,61825.0,45668938.0,150082.0
29,Total Nacional,Total Nacional,2007M07,63731.0,45236004.0,151719.0
30,Total Nacional,Total Nacional,2007M01,83713.0,44784659.0,145935.0
31,01 Andalucía,04 Almería,2022M01,1220.0,723899.0,133300.0
32,01 Andalucía,11 Cádiz,2022M01,1417.0,1259339.0,133300.0
33,01 Andalucía,14 Córdoba,2022M01,675.0,777414.0,133300.0
34,01 Andalucía,18 Granada,2022M01,1204.0,929968.0,133300.0
35,01 Andalucía,21 Huelva,2022M01,688.0,532865.0,133300.0
36,01 Andalucía,23 Jaén,2022M01,443.0,622617.0,133300.0
37,01 Andalucía,29 Málaga,2022M01,3834.0,1711693.0,133300.0
38,01 Andalucía,41 Sevilla,2022M01,2075.0,1960257.0,133300.0
39,01 Andalucía,04 Almería,2021M07,1544.0,720486.0,128119.0
40,01 Andalucía,11 Cádiz,2021M07,1404.0,1257680.0,128119.0
41,01 Andalucía,14 Córdoba,2021M07,624.0,779019.0,128119.0
42,01 Andalucía,18 Granada,2021M07,1085.0,928497.0,128119.0
43,01 Andalucía,21 Huelva,2021M07,685.0,531870.0,128119.0
44,01 Andalucía,23 Jaén,2021M07,412.0,624062.0,128119.0
45,01 Andalucía,29 Málaga,2021M07,2789.0,1701146.0,128119.0
46,01 Andalucía,41 Sevilla,2021M07,1726.0,1959769.0,128119.0
47,01 Andalucía,04 Almería,2021M01,906.0,720861.0,120217.0
48,01 Andalucía,11 Cádiz,2021M01,1138.0,1258153.0,120217.0
49,01 Andalucía,14 Córdoba,2021M01,514.0,781186.0,120217.0
50,01 Andalucía,18 Granada,2021M01,844.0,928381.0,120217.0
51,01 Andalucía,21 Huelva,2021M01,507.0,530422.0,120217.0
52,01 Andalucía,23 Jaén,2021M01,443.0,625831.0,120217.0
53,01 Andalucía,29 Málaga,2021M01,2429.0,1696463.0,120217.0
54,01 Andalucía,41 Sevilla,2021M01,1610.0,1960920.0,120217.0
55,01 Andalucía,04 Almería,2020M07,650.0,717143.0,120819.0
56,01 Andalucía,11 Cádiz,2020M07,914.0,1255302.0,120819.0
57,01 Andalucía,14 Córdoba,2020M07,440.0,783032.0,120819.0
58,01 Andalucía,18 Granada,2020M07,770.0,925824.0,120819.0
59,01 Andalucía,21 Huelva,2020M07,324.0,528525.0,120819.0
60,01 Andalucía,23 Jaén,2020M07,354.0,627395.0,120819.0
61,01 Andalucía,29 Málaga,2020M07,1919.0,1686007.0,120819.0
62,01 Andalucía,41 Sevilla,2020M07,1218.0,1960541.0,120819.0
63,01 Andalucía,04 Almería,2020M01,1041.0,715665.0,119440.0
64,01 Andalucía,11 Cádiz,2020M01,1169.0,1254728.0,119440.0
65,01 Andalucía,14 Córdoba,2020M01,575.0,784292.0,119440.0
66,01 Andalucía,18 Granada,2020M01,953.0,925160.0,119440.0
67,01 Andalucía,21 Huelva,2020M01,596.0,528177.0,119440.0
68,01 Andalucía,23 Jaén,2020M01,498.0,629036.0,119440.0
69,01 Andalucía,29 Málaga,2020M01,2697.0,1683505.0,119440.0
70,01 Andalucía,41 Sevilla,2020M01,1785.0,1957520.0,119440.0
71,01 Andalucía,04 Almería,2019M07,855.0,710902.0,119331.0
72,01 Andalucía,11 Cádiz,2019M07,1220.0,1251443.0,119331.0
